qid	query	docid	docno	rank	score
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	956	957	34	7.348066652857882
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	72	73	35	7.235059077506245
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	418	419	36	7.185450885395397
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	450	451	37	7.1454006644150905
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	366	367	38	7.118503656948427
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	739	740	39	6.9490644080780966
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	550	551	40	6.899566795591023
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	742	743	41	6.854912564266364
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1013	1014	42	6.8424878014852935
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	955	956	43	6.838149165546947
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	461	462	44	6.7114178085053595
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	691	692	45	6.708066913865935
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	444	445	46	6.581825776975975
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	348	349	47	6.503139338717972
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1047	1048	48	6.489960777420147
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1052	1053	49	6.421416503317306
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	377	378	50	6.339840905281518
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	800	801	51	6.274869684777405
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1344	1345	52	6.224252700453359
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	416	417	53	6.170883876041709
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	820	821	54	6.087782866683332
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	378	379	55	6.070478706370886
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	503	504	56	6.065438243714786
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	928	929	57	5.985005846330968
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1391	1392	58	5.887048399556909
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1355	1356	59	5.822301870383979
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	846	847	60	5.820501964401101
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1024	1025	61	5.788803817413125
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	862	863	62	5.733437288817941
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	693	694	63	5.686861807572281
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	930	931	64	5.607914117853325
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	813	814	65	5.596216064775936
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	692	693	66	5.572091915655228
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1117	1118	67	5.56855353075558
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	789	790	68	5.490682939399926
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1320	1321	69	5.3800654835155
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	865	866	70	5.349946196506055
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1067	1068	71	5.329247569987569
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	250	251	72	5.316646486137461
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	621	622	73	5.245343674193611
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	9	10	74	5.24348568358835
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1131	1132	75	5.226505699281237
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	520	521	76	5.210255905639041
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	920	921	77	5.197754840781925
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	403	404	78	5.163086497615424
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	490	491	79	5.14538248245026
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	937	938	80	5.138496521315505
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	954	955	81	5.1023659579635385
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	13	14	82	5.059567472757939
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	274	275	83	5.052246961416831
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	246	247	84	5.034543794686658
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	462	463	85	5.0313313412786
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	842	843	86	5.012247425393085
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1234	1235	87	4.996717796037575
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	837	838	88	4.9649205680775035
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	751	752	89	4.957259339407143
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	999	1000	90	4.949530981144246
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1070	1071	91	4.937097576052874
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	583	584	92	4.926180796315949
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1136	1137	93	4.907116104968754
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	861	862	94	4.893884592434347
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	826	827	95	4.8734911031624835
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1135	1136	96	4.818614289012897
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	897	898	97	4.810260372888042
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	732	733	98	4.79813603900326
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1046	1047	99	4.77913383364524
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	35	36	100	4.7053371289832935
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	828	829	101	4.704320483081519
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	915	916	102	4.68999572001438
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	368	369	103	4.685566892779064
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	916	917	104	4.683340886857534
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1069	1070	105	4.649893242409634
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	50	51	106	4.6498492474966415
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1087	1088	107	4.640204947652332
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1129	1130	108	4.6173324297013405
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	196	197	109	4.600621950177414
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	664	665	110	4.578897775979643
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	896	897	111	4.542721795011394
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	655	656	112	4.539281378879635
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	777	778	113	4.523971823971467
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1330	1331	114	4.483330033334569
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	468	469	115	4.474642977226481
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	643	644	116	4.466367127921679
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	978	979	117	4.457460157598985
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	206	207	118	4.45056273776008
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	649	650	119	4.449969052844625
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	719	720	120	4.415979244696946
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	91	92	121	4.415070275899506
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	869	870	122	4.40600775960651
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	933	934	123	4.397033615712163
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	304	305	124	4.377644264232026
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	417	418	125	4.323526309074101
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1196	1197	126	4.308962073943961
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	888	889	127	4.297469421115745
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	852	853	128	4.288880499069895
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1378	1379	129	4.280341520706929
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	900	901	130	4.231256226508382
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1059	1060	131	4.229459229769777
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	180	181	132	4.19104291571443
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1027	1028	133	4.1828398052859335
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	574	575	134	4.168223757963521
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1170	1171	135	4.160957546366798
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	495	496	136	4.150993008720123
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1051	1052	137	4.14160961205676
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1189	1190	138	4.131575140479795
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	599	600	139	4.035442764504766
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	232	233	140	4.030367804922003
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	26	27	141	4.028772993204562
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	541	542	142	4.015882534772026
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1241	1242	143	3.9948095200447518
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	660	661	144	3.991846775449499
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	362	363	145	3.9775753461942847
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1270	1271	146	3.9753585165309024
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	635	636	147	3.956943414578779
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	666	667	148	3.9507326783529844
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	866	867	149	3.944878615964658
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1397	1398	150	3.929386640211335
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1208	1209	151	3.9230866566000424
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1050	1051	152	3.91871958434321
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	223	224	153	3.915657380944446
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	321	322	154	3.909670796754132
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	791	792	155	3.9035779988479455
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	289	290	156	3.901061488380416
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	848	849	157	3.8890964888570707
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1053	1054	158	3.886653943898776
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	247	248	159	3.883991573919409
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	423	424	160	3.863794018402539
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	647	648	161	3.8581970864572943
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	781	782	162	3.853934419374835
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1171	1172	163	3.847076337526787
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1235	1236	164	3.83903738067288
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1362	1363	165	3.8282258023620157
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	633	634	166	3.8192317040784936
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	109	110	167	3.8075679461359853
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	679	680	168	3.799262646444367
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	19	20	169	3.7732182913665526
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	454	455	170	3.7716697243850223
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1375	1376	171	3.77009955769263
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1078	1079	172	3.763196752774486
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1071	1072	173	3.759156379445824
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1062	1063	174	3.7427298625377867
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	797	798	175	3.7376975865091873
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	200	201	176	3.7273756332355963
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	396	397	177	3.722015999314451
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1374	1375	178	3.705803341837215
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	592	593	179	3.7056842008824784
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1000	1001	180	3.704389728249336
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	54	55	181	3.6934365305174612
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1107	1108	182	3.688608850375971
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	77	78	183	3.6492687543594187
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1395	1396	184	3.634095847158081
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	712	713	185	3.623860073021498
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1144	1145	186	3.6236727357100147
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	853	854	187	3.6214170124274627
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	459	460	188	3.6197539735132906
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	284	285	189	3.6127868250965225
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1156	1157	190	3.610627155488337
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	443	444	191	3.605190406363691
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	98	99	192	3.584889195477646
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	424	425	193	3.5785969856583177
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	699	700	194	3.5785969856583177
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1058	1059	195	3.5713793778317724
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	205	206	196	3.567678748095865
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1348	1349	197	3.5578018679320467
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	472	473	198	3.5528450834484486
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1095	1096	199	3.511160867829173
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	830	831	200	3.5088899265442057
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	480	481	201	3.5082418836919302
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	240	241	202	3.4973451763240684
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	695	696	203	3.490530803306486
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	231	232	204	3.4888634511617393
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	640	641	205	3.480373262869033
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	486	487	206	3.472868049231689
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	917	918	207	3.472201897952455
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1145	1146	208	3.4685646578945595
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	515	516	209	3.4629388690687275
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1349	1350	210	3.4629388690687275
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1258	1259	211	3.4582669652048645
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	762	763	212	3.45251845375705
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	952	953	213	3.4391533074202885
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	705	706	214	3.41998348607395
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	858	859	215	3.4160347895547103
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	453	454	216	3.4120057224860396
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	947	948	217	3.411034148802954
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	47	48	218	3.40900043961211
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	182	183	219	3.407365735897412
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	66	67	220	3.3968105313892316
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1037	1038	221	3.373573958569135
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1099	1100	222	3.373162883287672
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	600	601	223	3.368766646921779
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	526	527	224	3.3565642658840904
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1381	1382	225	3.3480699749734657
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	667	668	226	3.347099193717584
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1389	1390	227	3.346553743574698
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1379	1380	228	3.3365601285631725
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1319	1320	229	3.326869186708562
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	932	933	230	3.3165773338862943
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1376	1377	231	3.3140968690794703
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	868	869	232	3.3084237137142347
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1286	1287	233	3.2894679955223194
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1321	1322	234	3.276812510478416
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1172	1173	235	3.2471935540429864
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	68	69	236	3.246034009153458
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	183	184	237	3.246034009153458
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1054	1055	238	3.2414064276485424
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1161	1162	239	3.2356919777096733
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1316	1317	240	3.209717698914151
